Hz,dB(vout/vin)
100000,-16.9003944396973
100230.5234375,-16.9003868103027
100461.578125,-16.9003810882568
100693.1640625,-16.9003734588623
100925.2890625,-16.9003658294678
101157.9453125,-16.9003582000732
101391.140625,-16.9003505706787
101624.8671875,-16.9003429412842
101859.140625,-16.9003353118896
102093.9453125,-16.9003276824951
102329.296875,-16.9003200531006
102565.1953125,-16.9003124237061
102801.6328125,-16.9003067016602
103038.609375,-16.9002990722656
103276.140625,-16.9002914428711
103514.21875,-16.9002819061279
103752.84375,-16.9002742767334
103992.015625,-16.9002685546875
104231.7421875,-16.9002590179443
104472.0234375,-16.9002513885498
104712.8515625,-16.9002437591553
104954.2421875,-16.9002361297607
105196.1875,-16.9002285003662
105438.6875,-16.9002208709717
105681.75,-16.9002113342285
105925.375,-16.900203704834
106169.5546875,-16.9001960754395
106414.3046875,-16.9001884460449
106659.609375,-16.9001789093018
106905.484375,-16.9001712799072
107151.9296875,-16.9001617431641
107398.9375,-16.9001541137695
107646.5234375,-16.900146484375
107894.671875,-16.9001369476318
108143.3984375,-16.9001293182373
108392.6875,-16.9001197814941
108642.5625,-16.9001121520996
108893.0078125,-16.9001045227051
109144.03125,-16.9000949859619
109395.6328125,-16.9000854492188
109647.8203125,-16.9000778198242
109900.5859375,-16.9000701904297
110153.9296875,-16.9000606536865
110407.859375,-16.9000511169434
110662.375,-16.9000434875488
110917.484375,-16.9000339508057
111173.171875,-16.9000244140625
111429.453125,-16.900016784668
111686.328125,-16.9000072479248
111943.7890625,-16.8999977111816
112201.84375,-16.8999900817871
112460.5,-16.8999805450439
112719.7421875,-16.8999710083008
112979.59375,-16.8999614715576
113240.0390625,-16.8999519348145
113501.078125,-16.8999423980713
113762.7265625,-16.8999328613281
114024.9765625,-16.8999252319336
114287.8359375,-16.8999156951904
114551.296875,-16.8999061584473
114815.359375,-16.8998966217041
115080.0390625,-16.8998870849609
115345.328125,-16.8998775482178
115611.2265625,-16.8998680114746
115877.734375,-16.8998584747314
116144.859375,-16.8998489379883
116412.6015625,-16.8998394012451
116680.9609375,-16.8998279571533
116949.9375,-16.8998184204102
117219.5390625,-16.899808883667
117489.7578125,-16.8997993469238
117760.59375,-16.8997898101807
118032.0625,-16.8997802734375
118304.15625,-16.8997688293457
118576.875,-16.8997592926025
118850.2265625,-16.8997478485107
119124.203125,-16.8997383117676
119398.8125,-16.8997287750244
119674.0546875,-16.8997173309326
119949.9296875,-16.8997077941895
120226.4453125,-16.8996982574463
120503.59375,-16.8996868133545
120781.3828125,-16.8996753692627
121059.8125,-16.8996658325195
121338.8828125,-16.8996543884277
121618.6015625,-16.8996448516846
121898.9609375,-16.8996334075928
122179.96875,-16.8996238708496
122461.6171875,-16.8996124267578
122743.921875,-16.899600982666
123026.875,-16.8995914459229
123310.484375,-16.8995800018311
123594.7421875,-16.8995685577393
123879.65625,-16.8995571136475
124165.234375,-16.8995475769043
124451.4609375,-16.8995361328125
124738.3515625,-16.8995246887207
125025.90625,-16.8995132446289
125314.1171875,-16.8995018005371
125603,-16.8994903564453
125892.5390625,-16.8994789123535
126182.75,-16.8994674682617
126473.6328125,-16.8994560241699
126765.1875,-16.8994445800781
127057.4140625,-16.8994331359863
127350.3046875,-16.8994216918945
127643.8828125,-16.8994083404541
127938.1328125,-16.8993968963623
128233.0546875,-16.8993854522705
128528.6640625,-16.8993740081787
128824.953125,-16.8993625640869
129121.9296875,-16.8993492126465
129419.5859375,-16.8993377685547
129717.9296875,-16.8993263244629
130016.9609375,-16.8993129730225
130316.6796875,-16.8993015289307
130617.0859375,-16.8992900848389
130918.1953125,-16.8992767333984
131219.984375,-16.899263381958
131522.484375,-16.8992519378662
131825.671875,-16.8992385864258
132129.5625,-16.899227142334
132434.15625,-16.8992137908936
132739.453125,-16.8992023468018
133045.4375,-16.8991889953613
133352.140625,-16.8991756439209
133659.546875,-16.8991622924805
133967.671875,-16.89914894104
134276.5,-16.8991374969482
134586.03125,-16.8991241455078
134896.28125,-16.8991107940674
135207.25,-16.899097442627
135518.9375,-16.8990840911865
135831.34375,-16.8990726470947
136144.46875,-16.8990573883057
136458.3125,-16.8990440368652
136772.875,-16.8990306854248
137088.171875,-16.8990173339844
137404.203125,-16.8990039825439
137720.953125,-16.8989906311035
138038.421875,-16.8989772796631
138356.640625,-16.8989639282227
138675.578125,-16.8989486694336
138995.265625,-16.8989353179932
139315.6875,-16.8989219665527
139636.84375,-16.8989067077637
139958.734375,-16.8988933563232
140281.375,-16.8988800048828
140604.75,-16.8988647460938
140928.875,-16.8988513946533
141253.75,-16.8988361358643
141579.375,-16.8988208770752
141905.75,-16.8988075256348
142232.875,-16.8987922668457
142560.765625,-16.8987789154053
142889.390625,-16.8987636566162
143218.796875,-16.8987483978271
143548.9375,-16.8987331390381
143879.859375,-16.898717880249
144211.53125,-16.8987045288086
144543.984375,-16.8986892700195
144877.1875,-16.8986740112305
145211.15625,-16.8986587524414
145545.90625,-16.8986434936523
145881.421875,-16.8986282348633
146217.71875,-16.8986129760742
146554.78125,-16.8985977172852
146892.625,-16.8985824584961
147231.25,-16.8985652923584
147570.65625,-16.8985500335693
147910.84375,-16.8985347747803
148251.8125,-16.8985195159912
148593.5625,-16.8985023498535
148936.109375,-16.8984870910645
149279.4375,-16.8984718322754
149623.5625,-16.8984546661377
149968.484375,-16.8984394073486
150314.203125,-16.8984222412109
150660.703125,-16.8984069824219
151008.015625,-16.8983898162842
151356.125,-16.8983745574951
151705.03125,-16.8983573913574
152054.75,-16.8983402252197
152405.28125,-16.898323059082
152756.609375,-16.8983058929443
153108.75,-16.8982906341553
153461.703125,-16.8982715606689
153815.46875,-16.8982563018799
154170.046875,-16.8982391357422
154525.4375,-16.8982219696045
154881.65625,-16.8982048034668
155238.703125,-16.8981876373291
155596.5625,-16.8981685638428
155955.25,-16.8981513977051
156314.765625,-16.8981342315674
156675.109375,-16.8981170654297
157036.28125,-16.8980979919434
157398.28125,-16.8980808258057
157761.125,-16.898063659668
158124.796875,-16.8980464935303
158489.3125,-16.8980274200439
